Category,Car Name,Features,Price Per Day (INR),Number of Seats,Air Conditioning,Safety Rating,Fuel Type
Luxury,Lexus LS,"Bluetooth, Backup Camera, GPS Navigation",11963,5,Yes,3.7,Diesel
Hatchback,Hyundai Grand i10 Nios,"Backup Camera, Manual Transmission, Electric Engine, Parking Sensors",1028,6,Yes,4.4,Electric
SUV,Mahindra XUV700,"Lane Departure Warning, Bluetooth, All-Wheel Drive, Backup Camera, Heated Seats",4954,6,No,3.8,Diesel
Luxury,BMW 7 Series,"GPS Navigation, Automatic Transmission, Air Conditioning, Hybrid Engine, All-Wheel Drive, Bluetooth",10058,6,No,3.1,Diesel
Electric,Tata Nexon EV,"Electric Engine, Blind Spot Monitor, Bluetooth, Parking Sensors, Lane Departure Warning, GPS Navigation",3316,6,No,4.3,Electric
Electric,MG ZS EV,"Parking Sensors, Hybrid Engine, Air Conditioning",2151,5,Yes,3.2,Electric
SUV,Tata Safari,"Sunroof, Manual Transmission, Electric Engine, Heated Seats, Blind Spot Monitor",5933,6,Yes,4.4,Hybrid
Off-Road,Suzuki Jimny,"Lane Departure Warning, Blind Spot Monitor, Sunroof, GPS Navigation, Bluetooth, Leather Seats",5424,4,Yes,3.4,Hybrid
Vintage,Chevrolet Bel Air,"Manual Transmission, Leather Seats, Bluetooth, GPS Navigation, Sunroof",6648,4,Yes,3.6,Electric
Hatchback,Honda WR-V,"All-Wheel Drive, Electric Engine, Air Conditioning, Sunroof, Blind Spot Monitor",2107,4,No,4.2,Electric
Off-Road,Land Rover Defender,"Heated Seats, Manual Transmission, Blind Spot Monitor, Leather Seats",5037,6,Yes,3.3,Petrol
Luxury,BMW 7 Series,"Heated Seats, GPS Navigation, Air Conditioning, Bluetooth",5829,4,No,3.9,Electric
Luxury,Jaguar XJ,"Cruise Control, Backup Camera, Automatic Transmission",8723,6,No,5.0,Petrol
Off-Road,Suzuki Jimny,"Parking Sensors, Backup Camera, All-Wheel Drive, Cruise Control, Electric Engine, Blind Spot Monitor",3970,7,No,4.6,Hybrid
Luxury,Jaguar XJ,"Manual Transmission, Backup Camera, Blind Spot Monitor, GPS Navigation",7958,4,No,4.6,Petrol
Luxury,BMW 7 Series,"Lane Departure Warning, Parking Sensors, Manual Transmission, Cruise Control, Leather Seats, All-Wheel Drive",6897,4,No,4.4,Electric
Vintage,Rolls Royce Silver Ghost,"Lane Departure Warning, Blind Spot Monitor, Parking Sensors, Sunroof, Automatic Transmission, Leather Seats",9674,4,No,3.4,Hybrid
Hatchback,Volkswagen Polo,"Hybrid Engine, GPS Navigation, Automatic Transmission, Electric Engine",2979,6,No,3.3,Electric
Vintage,Plymouth Road Runner,"Heated Seats, Manual Transmission, Blind Spot Monitor",11770,4,No,3.3,Electric
Hatchback,Ford Figo,"Lane Departure Warning, Cruise Control, Manual Transmission, Hybrid Engine",2210,6,Yes,3.8,Electric
Off-Road,Toyota Land Cruiser,"Electric Engine, Parking Sensors, Air Conditioning, Heated Seats, Backup Camera, Sunroof",3475,5,No,3.7,Electric
Off-Road,Land Rover Defender,"Lane Departure Warning, Leather Seats, Hybrid Engine, Automatic Transmission",3488,5,No,4.1,Petrol
Hatchback,Tata Altroz,"Air Conditioning, Hybrid Engine, Backup Camera, Blind Spot Monitor",1465,4,Yes,4.9,Hybrid
Luxury,BMW 7 Series,"Lane Departure Warning, Blind Spot Monitor, Parking Sensors",6163,5,Yes,4.3,Electric
Off-Road,Jeep Wrangler,"All-Wheel Drive, Heated Seats, Bluetooth, Parking Sensors, Automatic Transmission",4908,5,Yes,3.3,Hybrid
Hatchback,Hyundai Santro,"Bluetooth, GPS Navigation, Leather Seats, Lane Departure Warning, Backup Camera, Electric Engine",2666,5,No,3.7,Petrol
Electric,Hyundai Kona Electric,"Leather Seats, Lane Departure Warning, Bluetooth, Sunroof, Parking Sensors",2096,7,Yes,4.1,Electric
Off-Road,Jeep Wrangler,"Leather Seats, All-Wheel Drive, Manual Transmission, Hybrid Engine, Cruise Control",3301,6,Yes,3.5,Diesel
Off-Road,Ford Bronco,"Air Conditioning, Heated Seats, Backup Camera, Bluetooth, Automatic Transmission",3452,4,No,3.8,Electric
Hatchback,Toyota Glanza,"Blind Spot Monitor, Automatic Transmission, Manual Transmission",1920,6,Yes,4.6,Petrol
Off-Road,Jeep Wrangler,"Backup Camera, Blind Spot Monitor, Electric Engine, Bluetooth, Manual Transmission, Lane Departure Warning",5339,7,No,4.5,Diesel
SUV,Ford Endeavour,"Manual Transmission, Blind Spot Monitor, Leather Seats, Hybrid Engine, GPS Navigation, Parking Sensors",4170,7,No,3.8,Electric
SUV,Toyota Fortuner,"Manual Transmission, Automatic Transmission, Backup Camera, GPS Navigation, Blind Spot Monitor, All-Wheel Drive",4577,5,No,3.2,Diesel
Luxury,Lexus LS,"Sunroof, Heated Seats, Air Conditioning, Cruise Control, Lane Departure Warning, Blind Spot Monitor",5408,6,No,4.9,Hybrid
Electric,Hyundai Kona Electric,"Heated Seats, Cruise Control, Hybrid Engine, Electric Engine",2135,7,Yes,3.5,Electric
SUV,Mahindra XUV700,"Electric Engine, Automatic Transmission, Leather Seats",3728,7,No,3.9,Diesel
Off-Road,Jeep Wrangler,"Electric Engine, Bluetooth, Sunroof, Leather Seats, Hybrid Engine",5167,5,No,4.8,Hybrid
Luxury,Lexus LS,"Blind Spot Monitor, Automatic Transmission, Leather Seats",5848,7,No,4.7,Hybrid
SUV,Tata Safari,"Manual Transmission, Blind Spot Monitor, Automatic Transmission, Hybrid Engine, Leather Seats, Air Conditioning",3547,6,No,3.9,Electric
Off-Road,Suzuki Jimny,"Blind Spot Monitor, Lane Departure Warning, Heated Seats, Air Conditioning",4356,7,Yes,3.9,Electric
Electric,Hyundai Kona Electric,"Automatic Transmission, Air Conditioning, Parking Sensors",2054,4,No,3.0,Electric
Vintage,Plymouth Road Runner,"Air Conditioning, Parking Sensors, Cruise Control, Backup Camera, Automatic Transmission",6607,5,No,4.3,Electric
Electric,Tata Nexon EV,"Parking Sensors, Blind Spot Monitor, Lane Departure Warning, Leather Seats, Heated Seats",2950,6,Yes,3.7,Electric
Luxury,Audi A8,"Air Conditioning, Leather Seats, Heated Seats",9653,7,Yes,3.8,Hybrid
SUV,Ford Endeavour,"Electric Engine, All-Wheel Drive, Parking Sensors, Hybrid Engine, GPS Navigation",4508,7,Yes,3.1,Electric
SUV,Tata Safari,"GPS Navigation, Leather Seats, Manual Transmission",5056,4,No,3.5,Hybrid
Hatchback,Volkswagen Polo,"Automatic Transmission, All-Wheel Drive, Manual Transmission, Bluetooth, Backup Camera",2153,6,Yes,3.5,Diesel
Hatchback,Nissan Magnite,"Sunroof, Cruise Control, All-Wheel Drive, Bluetooth, Blind Spot Monitor, Automatic Transmission",2522,5,No,3.1,Electric
Luxury,Audi A8,"All-Wheel Drive, Lane Departure Warning, Cruise Control",5127,5,No,3.8,Petrol
Electric,Hyundai Kona Electric,"Automatic Transmission, Manual Transmission, Heated Seats",3489,7,Yes,3.2,Electric
SUV,Toyota Fortuner,"Backup Camera, Heated Seats, Hybrid Engine",3953,5,No,4.9,Electric
SUV,Toyota Fortuner,"GPS Navigation, Blind Spot Monitor, Parking Sensors, Lane Departure Warning",4744,7,No,3.9,Electric
Electric,Tata Nexon EV,"Blind Spot Monitor, Automatic Transmission, Heated Seats, Hybrid Engine, Cruise Control",3876,5,No,3.7,Electric
Luxury,Jaguar XJ,"Parking Sensors, All-Wheel Drive, Air Conditioning",8641,7,Yes,4.7,Hybrid
Electric,Tata Nexon EV,"Blind Spot Monitor, Manual Transmission, Heated Seats",2694,5,No,4.2,Electric
Luxury,Audi A8,"Air Conditioning, Hybrid Engine, Manual Transmission",5478,7,No,3.5,Electric
Hatchback,Toyota Glanza,"Parking Sensors, Cruise Control, GPS Navigation, Electric Engine, Manual Transmission",1480,5,No,4.2,Petrol
Luxury,Lexus LS,"Sunroof, Heated Seats, Backup Camera, Automatic Transmission",11614,7,No,3.7,Petrol
Electric,Mahindra eVerito,"Lane Departure Warning, Cruise Control, Backup Camera",2072,5,Yes,3.5,Electric
Off-Road,Ford Bronco,"Hybrid Engine, GPS Navigation, Cruise Control, All-Wheel Drive, Parking Sensors, Electric Engine",3587,7,Yes,3.0,Electric
SUV,Tata Safari,"Parking Sensors, Manual Transmission, Heated Seats",5797,7,Yes,3.3,Electric
Luxury,Jaguar XJ,"Hybrid Engine, GPS Navigation, Leather Seats, Backup Camera, Automatic Transmission",8974,4,No,4.7,Petrol
Luxury,BMW 7 Series,"Bluetooth, Parking Sensors, Backup Camera, Lane Departure Warning",8930,4,Yes,4.8,Electric
Hatchback,Hyundai Santro,"Cruise Control, Electric Engine, Sunroof, Lane Departure Warning",1524,7,No,3.1,Electric
Vintage,Jaguar XK120,"Heated Seats, Cruise Control, Backup Camera, Manual Transmission, Automatic Transmission, Bluetooth",8650,4,No,4.4,Petrol
Off-Road,Suzuki Jimny,"Air Conditioning, Heated Seats, Manual Transmission, All-Wheel Drive",4267,5,No,3.4,Diesel
Vintage,Rolls Royce Silver Ghost,"Cruise Control, Backup Camera, Bluetooth, Automatic Transmission, Heated Seats, Sunroof",11701,5,Yes,4.1,Hybrid
Hatchback,Toyota Glanza,"Cruise Control, Manual Transmission, Sunroof, Leather Seats, Backup Camera, Heated Seats",2043,6,Yes,4.2,Electric
Off-Road,Jeep Wrangler,"Lane Departure Warning, Air Conditioning, Blind Spot Monitor, All-Wheel Drive",5224,5,No,3.4,Electric
Electric,Tata Nexon EV,"All-Wheel Drive, Backup Camera, Bluetooth",2879,6,Yes,3.8,Electric
Electric,MG ZS EV,"Heated Seats, Sunroof, Backup Camera, Manual Transmission",3145,7,No,3.6,Electric
Electric,Mahindra eVerito,"Lane Departure Warning, Hybrid Engine, Manual Transmission",3182,6,Yes,3.9,Electric
Luxury,Audi A8,"All-Wheel Drive, Automatic Transmission, Bluetooth, Electric Engine, Hybrid Engine",5534,4,No,4.5,Diesel
Electric,Hyundai Kona Electric,"Hybrid Engine, Heated Seats, Blind Spot Monitor, Parking Sensors, Automatic Transmission, Lane Departure Warning",2077,7,Yes,4.4,Electric
Electric,Tata Nexon EV,"Parking Sensors, Automatic Transmission, Bluetooth, Air Conditioning, Electric Engine",3847,4,Yes,4.7,Electric
Off-Road,Jeep Wrangler,"All-Wheel Drive, Sunroof, Manual Transmission, Automatic Transmission, Hybrid Engine",5989,5,Yes,4.1,Electric
Luxury,BMW 7 Series,"Hybrid Engine, Blind Spot Monitor, All-Wheel Drive",6129,7,Yes,3.7,Diesel
Luxury,Mercedes-Benz S-Class,"GPS Navigation, Manual Transmission, Sunroof, Automatic Transmission, Bluetooth",10855,4,No,3.7,Diesel
SUV,Mahindra XUV700,"Bluetooth, Backup Camera, GPS Navigation, Heated Seats, Sunroof",4392,6,Yes,4.6,Electric
Luxury,Lexus LS,"Electric Engine, Heated Seats, Cruise Control, Automatic Transmission, All-Wheel Drive",9798,4,No,4.0,Diesel
Electric,Tesla Model 3,"Air Conditioning, Manual Transmission, Parking Sensors",2716,6,Yes,3.5,Electric
Off-Road,Ford Bronco,"Backup Camera, All-Wheel Drive, Bluetooth",3270,6,Yes,4.0,Electric
Vintage,Chevrolet Bel Air,"Blind Spot Monitor, Electric Engine, Heated Seats",7470,7,Yes,3.6,Electric
Hatchback,Volkswagen Polo,"Electric Engine, Air Conditioning, Automatic Transmission, Heated Seats, Backup Camera, Lane Departure Warning",1226,4,Yes,4.4,Petrol
Off-Road,Suzuki Jimny,"Automatic Transmission, Backup Camera, Parking Sensors, Electric Engine, GPS Navigation, All-Wheel Drive",3372,4,No,3.0,Diesel
Luxury,Audi A8,"GPS Navigation, Leather Seats, Parking Sensors",9887,7,Yes,4.0,Petrol
Hatchback,Nissan Magnite,"All-Wheel Drive, GPS Navigation, Backup Camera, Automatic Transmission, Hybrid Engine",1593,4,No,4.9,Diesel
Vintage,Chevrolet Bel Air,"Blind Spot Monitor, All-Wheel Drive, Parking Sensors, Sunroof, Backup Camera, Heated Seats",7362,5,No,4.1,Electric
SUV,Mahindra XUV700,"Air Conditioning, GPS Navigation, Bluetooth",4032,7,Yes,4.5,Electric
Off-Road,Toyota Land Cruiser,"Manual Transmission, Backup Camera, Sunroof, Hybrid Engine, Lane Departure Warning, Bluetooth",5610,4,No,3.3,Electric
SUV,Tata Safari,"Hybrid Engine, Bluetooth, Parking Sensors, Heated Seats, Lane Departure Warning",3975,7,No,5.0,Petrol
Hatchback,Hyundai Grand i10 Nios,"Backup Camera, All-Wheel Drive, Parking Sensors, GPS Navigation",1383,5,No,3.2,Electric
SUV,Tata Safari,"GPS Navigation, All-Wheel Drive, Lane Departure Warning, Bluetooth, Automatic Transmission",3196,4,No,5.0,Electric
SUV,Jeep Compass,"Electric Engine, Air Conditioning, Automatic Transmission",5443,4,No,4.0,Hybrid
Off-Road,Toyota Land Cruiser,"Electric Engine, All-Wheel Drive, Heated Seats, Hybrid Engine",5258,4,Yes,3.7,Electric
Off-Road,Jeep Wrangler,"Parking Sensors, Air Conditioning, Backup Camera, Electric Engine",3387,6,No,4.2,Petrol
Luxury,Lexus LS,"Sunroof, Parking Sensors, All-Wheel Drive, Automatic Transmission, Heated Seats",5380,4,No,3.4,Hybrid
Electric,MG ZS EV,"GPS Navigation, Bluetooth, All-Wheel Drive",3102,7,Yes,3.5,Electric
Off-Road,Toyota Land Cruiser,"GPS Navigation, Hybrid Engine, Electric Engine, Air Conditioning, Parking Sensors",5203,4,No,3.8,Diesel
Vintage,Ford Model T,"GPS Navigation, All-Wheel Drive, Cruise Control",5552,7,No,4.5,Hybrid
SUV,Mahindra XUV700,"Blind Spot Monitor, Electric Engine, Hybrid Engine, Bluetooth, GPS Navigation, Leather Seats",3132,5,Yes,5.0,Electric
Off-Road,Ford Bronco,"Lane Departure Warning, Hybrid Engine, Cruise Control, Sunroof, Automatic Transmission",5705,5,Yes,4.8,Petrol
Hatchback,Hyundai i20,"Leather Seats, Electric Engine, Manual Transmission, Lane Departure Warning",2152,6,Yes,3.2,Petrol
Luxury,Jaguar XJ,"Automatic Transmission, All-Wheel Drive, GPS Navigation, Parking Sensors",8489,4,No,4.2,Hybrid
Hatchback,Maruti Suzuki Baleno,"Automatic Transmission, Heated Seats, Hybrid Engine, Manual Transmission, Backup Camera, Air Conditioning",2046,6,Yes,3.1,Electric
Luxury,Mercedes-Benz S-Class,"All-Wheel Drive, Cruise Control, Bluetooth, Electric Engine, Leather Seats, GPS Navigation",7262,6,Yes,4.4,Diesel
Luxury,BMW 7 Series,"All-Wheel Drive, Electric Engine, Automatic Transmission, Manual Transmission, Heated Seats",10092,6,Yes,3.9,Electric
Electric,Hyundai Kona Electric,"Air Conditioning, Automatic Transmission, Electric Engine, Heated Seats, GPS Navigation",2555,5,No,3.5,Electric
Off-Road,Toyota Land Cruiser,"GPS Navigation, Parking Sensors, All-Wheel Drive, Leather Seats, Lane Departure Warning, Heated Seats",3902,7,Yes,3.5,Electric
Luxury,Lexus LS,"Blind Spot Monitor, Bluetooth, Sunroof, Automatic Transmission, Electric Engine, GPS Navigation",11014,6,No,3.5,Diesel
Off-Road,Suzuki Jimny,"Manual Transmission, Parking Sensors, Hybrid Engine, Heated Seats",5240,7,No,4.2,Hybrid
Luxury,Jaguar XJ,"Hybrid Engine, All-Wheel Drive, GPS Navigation, Manual Transmission, Heated Seats",7340,4,No,5.0,Petrol
Luxury,Jaguar XJ,"Heated Seats, Lane Departure Warning, Air Conditioning, Hybrid Engine",7052,5,Yes,4.0,Hybrid
Vintage,Ford Model T,"Automatic Transmission, Manual Transmission, Backup Camera, Parking Sensors, Lane Departure Warning",11337,6,No,3.6,Hybrid
SUV,Ford Endeavour,"Heated Seats, Leather Seats, Cruise Control, Backup Camera",3707,7,No,4.6,Diesel
SUV,Mahindra XUV700,"Hybrid Engine, All-Wheel Drive, Blind Spot Monitor",3604,4,Yes,3.9,Diesel
Off-Road,Ford Bronco,"Hybrid Engine, Parking Sensors, Automatic Transmission, Air Conditioning, Blind Spot Monitor, Manual Transmission",4109,4,Yes,3.8,Electric
Luxury,BMW 7 Series,"Leather Seats, Parking Sensors, Manual Transmission, Automatic Transmission",6674,4,Yes,4.2,Diesel
Off-Road,Ford Bronco,"Backup Camera, Sunroof, Automatic Transmission, All-Wheel Drive, Parking Sensors",5376,6,No,4.0,Hybrid
Off-Road,Suzuki Jimny,"Sunroof, Cruise Control, Heated Seats, Bluetooth, Air Conditioning, Electric Engine",3917,4,No,4.3,Diesel
Off-Road,Toyota Land Cruiser,"GPS Navigation, Cruise Control, Manual Transmission, Automatic Transmission, Sunroof, Air Conditioning",4460,4,Yes,3.7,Hybrid
Electric,Mahindra eVerito,"Leather Seats, Sunroof, All-Wheel Drive",2177,6,Yes,4.6,Electric
Electric,Mahindra eVerito,"Sunroof, Manual Transmission, All-Wheel Drive, Parking Sensors, Electric Engine, Bluetooth",3956,4,Yes,4.2,Electric
Luxury,Jaguar XJ,"Heated Seats, Cruise Control, Hybrid Engine, All-Wheel Drive, Manual Transmission, Backup Camera",9324,6,Yes,4.4,Petrol
Electric,Mahindra eVerito,"Backup Camera, Parking Sensors, Electric Engine",3646,4,Yes,3.3,Electric
SUV,Ford Endeavour,"Automatic Transmission, Heated Seats, Electric Engine",5987,6,No,3.4,Petrol
Hatchback,Maruti Suzuki Celerio,"Automatic Transmission, All-Wheel Drive, Bluetooth, Heated Seats, Manual Transmission, Air Conditioning",2252,5,No,4.7,Hybrid
Vintage,Plymouth Road Runner,"Hybrid Engine, Manual Transmission, Leather Seats, Lane Departure Warning",12984,6,No,4.1,Diesel
SUV,Jeep Compass,"Lane Departure Warning, Leather Seats, Electric Engine",5644,5,Yes,4.9,Diesel
Luxury,Audi A8,"Leather Seats, Lane Departure Warning, Hybrid Engine",9551,7,Yes,3.2,Diesel
SUV,Ford Endeavour,"Cruise Control, Sunroof, Heated Seats",4151,5,Yes,4.8,Diesel
Vintage,Jaguar XK120,"Hybrid Engine, Manual Transmission, Lane Departure Warning, Cruise Control",6582,4,No,3.9,Electric
Luxury,Mercedes-Benz S-Class,"Leather Seats, Bluetooth, Sunroof",8773,7,Yes,4.1,Hybrid
Hatchback,Hyundai Grand i10 Nios,"Electric Engine, Sunroof, Parking Sensors, Hybrid Engine, Leather Seats, GPS Navigation",2164,5,Yes,3.2,Petrol
Vintage,Plymouth Road Runner,"Automatic Transmission, Electric Engine, GPS Navigation, Blind Spot Monitor, Bluetooth",10903,5,No,3.9,Hybrid
Electric,Hyundai Kona Electric,"Parking Sensors, Backup Camera, Cruise Control, Blind Spot Monitor, Bluetooth",2298,5,No,4.3,Electric
Off-Road,Toyota Land Cruiser,"Cruise Control, Leather Seats, Lane Departure Warning",5872,4,Yes,3.2,Hybrid
Vintage,Ford Model T,"Heated Seats, All-Wheel Drive, Air Conditioning, Lane Departure Warning, Parking Sensors, Hybrid Engine",14302,6,No,3.5,Electric
Electric,Tesla Model 3,"Automatic Transmission, Manual Transmission, Sunroof, Hybrid Engine, GPS Navigation",3211,6,No,3.1,Electric
SUV,Toyota Fortuner,"Blind Spot Monitor, Bluetooth, Cruise Control, GPS Navigation",3779,6,Yes,4.5,Petrol
Electric,Mahindra eVerito,"Leather Seats, Cruise Control, Electric Engine, GPS Navigation, Automatic Transmission",2900,5,No,3.2,Electric
Vintage,Jaguar XK120,"Cruise Control, Lane Departure Warning, Parking Sensors, Bluetooth, Blind Spot Monitor, Sunroof",5451,7,Yes,3.2,Electric
Electric,Tata Nexon EV,"Electric Engine, Leather Seats, GPS Navigation",3684,4,No,4.9,Electric
Vintage,Rolls Royce Silver Ghost,"Heated Seats, Leather Seats, Electric Engine, Manual Transmission, Automatic Transmission",7562,4,No,4.1,Diesel
Vintage,Plymouth Road Runner,"Hybrid Engine, All-Wheel Drive, GPS Navigation, Bluetooth, Blind Spot Monitor",13224,5,Yes,4.7,Petrol
Off-Road,Toyota Land Cruiser,"GPS Navigation, Bluetooth, Backup Camera, Automatic Transmission",3155,4,No,3.1,Hybrid
Electric,MG ZS EV,"Heated Seats, Blind Spot Monitor, Lane Departure Warning, GPS Navigation",3703,5,Yes,4.8,Electric
Electric,MG ZS EV,"Leather Seats, Cruise Control, Bluetooth, Sunroof, GPS Navigation",2008,4,Yes,4.3,Electric
Luxury,BMW 7 Series,"Blind Spot Monitor, Air Conditioning, Electric Engine, Hybrid Engine, GPS Navigation",11254,7,No,4.9,Diesel
Hatchback,Volkswagen Polo,"Manual Transmission, Leather Seats, Heated Seats, GPS Navigation",2547,4,Yes,4.3,Electric
